dataset,bit,mode,acc,params,returncode
CINIC10,1,adapter_norc,64.24,1818882,0
CINIC10,2,adapter_norc,75.72,1818895,0
CINIC10,4,adapter_norc,77.57,1818895,0
CINIC10,8,adapter_norc,77.42,1818895,0
CINIC10,1,full_ft,68.02,1546690,0
CINIC10,2,full_ft,78.24,1546698,0
CINIC10,4,full_ft,80.01,1546698,0
CINIC10,8,full_ft,80.14,1546698,0
FashionMNIST,1,adapter_norc,77.71,1818882,0
FashionMNIST,2,adapter_norc,93.01,1818895,0
FashionMNIST,4,adapter_norc,93.79,1818895,0
FashionMNIST,8,adapter_norc,93.77,1818895,0
FashionMNIST,1,full_ft,92.36,1546690,0
FashionMNIST,2,full_ft,94.11,1546698,0
FashionMNIST,4,full_ft,94.48,1546698,0
FashionMNIST,8,full_ft,94.53,1546698,0
STL10,1,adapter_norc,67.06,1818882,0
STL10,2,adapter_norc,75.94,1818895,0
STL10,4,adapter_norc,76.49,1818895,0
STL10,8,adapter_norc,76.24,1818895,0
STL10,1,full_ft,71.05,1546690,0
STL10,2,full_ft,77.44,1546698,0
STL10,4,full_ft,79.47,1546698,0
STL10,8,full_ft,78.91,1546698,0
SVHN,1,adapter_norc,64.48,1818882,0
SVHN,2,adapter_norc,95.1,1818895,0
SVHN,4,adapter_norc,95.72,1818895,0
SVHN,8,adapter_norc,95.64,1818895,0
SVHN,1,full_ft,94.91,1546690,0
SVHN,2,full_ft,96.07,1546698,0
SVHN,4,full_ft,96.07,1546698,0
SVHN,8,full_ft,96.13,1546698,0
