bit,mode,acc,params,returncode
1,adapter,73.72,1605223,0
1,frozen_only,28.81,1546690,0
1,full_ft,94.91,1546690,0
2,adapter,74.44,1605231,0
2,frozen_only,25.51,1546698,0
2,full_ft,96.07,1546698,0
4,adapter,79.96,1605231,0
4,frozen_only,26.86,1546698,0
4,full_ft,96.07,1546698,0
8,adapter,80.48,1605231,0
8,frozen_only,25.94,1546698,0
8,full_ft,96.13,1546698,0
16,adapter,79.07,1605231,0
16,frozen_only,26.37,1546698,0
16,full_ft,96.15,1546698,0
32,adapter,79.51,1605231,0
32,frozen_only,26.41,1546698,0
32,full_ft,96.09,1546698,0
