cell,seed,acc,params,returncode
CINIC10_full_ft,2025,67.99,1546690,0
CINIC10_full_ft,2026,68.02,1546690,0
CINIC10_v1v2_M4_rc,2025,65.49,1780822,0
CINIC10_v1v2_M4_rc,2026,65.49,1780822,0
FashionMNIST_full_ft,2025,92.3,1546690,0
FashionMNIST_full_ft,2026,92.35,1546690,0
FashionMNIST_v1v2_M4_rc,2025,83.47,1780822,0
FashionMNIST_v1v2_M4_rc,2026,83.37,1780822,0
STL10_full_ft,2025,71.11,1546690,0
STL10_full_ft,2026,71.17,1546690,0
STL10_v1v2_M4_rc,2025,68.09,1780822,0
STL10_v1v2_M4_rc,2026,68.41,1780822,0
SVHN_frozen_only,2025,28.67,1546690,0
SVHN_frozen_only,2026,28.69,1546690,0
SVHN_full_ft,2025,94.88,1546690,0
SVHN_full_ft,2026,94.82,1546690,0
SVHN_v1v2_M4_rc,2026,79.49,1780822,0
SVHN_v6_M4_rc,2025,82.92,2636098,0
SVHN_v6_M4_rc,2026,82.88,2636098,0
